"Laps,""Time"",""Cumulative Time"",""Distance"",""Avg Pace"",""Avg GAP"",""Avg HR"",""Max HR"",""Total Ascent"",""Total Descent"",""Avg Power"",""Avg W/kg"",""Max Power"",""Max W/kg"",""Avg Run Cadence"",""Avg Ground Contact Time"",""Avg GCT Balance"",""Avg Stride Length"",""Avg Vertical Oscillation"",""Avg Vertical Ratio"",""Calories"",""Avg Temperature"",""Best Pace"",""Max Run Cadence"",""Moving Time"",""Avg Moving Pace"""
"29,""4:54.9"",""2:21:31"",""0.62"",""7:54"","""",""176"",""181"","""",""7"","""","""","""","""",""164"","""","""",""1.24"","""","""",""76"","""",""7:35"",""167"",""4:54.9"",""7:55"""
"30,""4:59.5"",""2:26:31"",""0.62"",""8:02"","""",""175"",""178"","""",""12"","""","""","""","""",""164"","""","""",""1.22"","""","""",""75"","""",""7:46"",""169"",""4:59.5"",""8:02"""
"31,""4:52.2"",""2:31:23"",""0.62"",""7:50"","""",""178"",""180"",""12"","""","""","""","""","""",""165"","""","""",""1.25"","""","""",""77"","""",""7:40"",""169"",""4:52"",""7:50"""
"32,""5:05.8"",""2:36:29"",""0.62"",""8:12"","""",""177"",""185"",""9"","""","""","""","""","""",""158"","""","""",""1.24"","""","""",""78"","""",""7:42"",""169"",""5:05.8"",""8:12"""
"33,""4:52.1"",""2:41:21"",""0.62"",""7:50"","""",""177"",""181"","""",""4"","""","""","""","""",""165"","""","""",""1.25"","""","""",""76"","""",""7:39"",""169"",""4:52"",""7:50"""
"34,""4:57.0"",""2:46:18"",""0.62"",""7:58"","""",""177"",""181"","""","""","""","""","""","""",""164"","""","""",""1.23"","""","""",""77"","""",""7:40"",""168"",""4:57"",""7:58"""
"35,""4:56.1"",""2:51:14"",""0.62"",""7:57"","""",""177"",""183"",""13"","""","""","""","""","""",""164"","""","""",""1.23"","""","""",""78"","""",""7:18"",""169"",""4:56"",""7:56"""
"36,""5:03.1"",""2:56:17"",""0.62"",""8:08"","""",""177"",""183"",""26"",""57"","""","""","""","""",""163"","""","""",""1.22"","""","""",""79"","""",""7:26"",""169"",""5:03"",""8:08"""
"37,""4:38.1"",""3:00:55"",""0.62"",""7:28"","""",""181"",""186"",""34"","""","""","""","""","""",""165"","""","""",""1.30"","""","""",""75"","""",""7:09"",""169"",""4:38"",""7:27"""
"38,""4:53.7"",""3:05:49"",""0.62"",""7:53"","""",""179"",""182"",""35"",""22"","""","""","""","""",""165"","""","""",""1.24"","""","""",""78"","""",""7:34"",""168"",""4:53.7"",""7:53"""
"39,""4:56.4"",""3:10:45"",""0.62"",""7:57"","""",""179"",""183"",""41"",""20"","""","""","""","""",""164"","""","""",""1.23"","""","""",""78"","""",""7:16"",""169"",""4:55"",""7:55"""
"40,""4:50.8"",""3:15:36"",""0.62"",""7:48"","""",""181"",""184"","""",""18"","""","""","""","""",""164"","""","""",""1.26"","""","""",""80"","""",""7:34"",""169"",""4:50.8"",""7:48"""
"41,""4:56.7"",""3:20:33"",""0.62"",""7:58"","""",""179"",""185"",""28"",""17"","""","""","""","""",""162"","""","""",""1.25"","""","""",""78"","""",""7:34"",""167"",""4:56.7"",""7:58"""
"42,""4:40.6"",""3:25:13"",""0.62"",""7:32"","""",""180"",""182"",""29"",""69"","""","""","""","""",""165"","""","""",""1.30"","""","""",""76"","""",""7:19"",""169"",""4:40.6"",""7:32"""
"43,""3:17.7"",""3:28:31"",""0.42"",""7:54"","""",""180"",""183"",""71"","""","""","""","""","""",""165"","""","""",""1.24"","""","""",""52"","""",""7:20"",""169"",""3:15"",""7:48"""
"Summary,""3:28:31"",""3:28:31"",""26.51"",""7:52"","""",""172"",""186"",""884"",""813"","""","""","""","""",""163"","""","""",""1.26"","""","""",""3,203"","""",""6:41"",""172"",""3:28:20"",""7:51"""
