"Laps,""Time"",""Cumulative Time"",""Distance"",""Avg Pace"",""Avg GAP"",""Avg HR"",""Max HR"",""Total Ascent"",""Total Descent"",""Avg Power"",""Avg W/kg"",""Max Power"",""Max W/kg"",""Avg Run Cadence"",""Avg Ground Contact Time"",""Avg GCT Balance"",""Avg Stride Length"",""Avg Vertical Oscillation"",""Avg Vertical Ratio"",""Calories"",""Avg Temperature"",""Best Pace"",""Max Run Cadence"",""Moving Time"",""Avg Moving Pace"""
"1,""4:25.8"",""4:25.8"",""0.62"",""7:08"","""",""134"",""154"",""46"","""","""","""","""","""",""160"","""","""",""1.41"","""","""",""58"","""",""6:35"",""168"",""4:22"",""7:02"""
"2,""4:27.6"",""8:53.4"",""0.62"",""7:11"","""",""157"",""164"",""13"","""","""","""","""","""",""164"","""","""",""1.37"","""","""",""72"","""",""6:52"",""169"",""4:27.6"",""7:11"""
"3,""4:23.4"",""13:17"",""0.62"",""7:04"","""",""165"",""169"",""36"","""","""","""","""","""",""163"","""","""",""1.39"","""","""",""68"","""",""6:51"",""168"",""4:23"",""7:03"""
"4,""4:12.5"",""17:29"",""0.62"",""6:46"","""",""166"",""171"",""19"",""88"","""","""","""","""",""164"","""","""",""1.45"","""","""",""64"","""",""6:05"",""168"",""4:12"",""6:46"""
"5,""3:41.5"",""21:11"",""0.58"",""6:23"","""",""170"",""174"","""",""19"","""","""","""","""",""167"","""","""",""1.51"","""","""",""59"","""",""6:08"",""178"",""3:41.5"",""6:23"""
"Summary,""21:11"",""21:11"",""3.06"",""6:55"","""",""158"",""174"",""114"",""106"","""","""","""","""",""164"","""","""",""1.42"","""","""",""321"","""",""6:05"",""178"",""21:06"",""6:53"""
